用例ID,模块,页面,测试点,用例标题,预置条件,测试步骤,预期结果,测试结果,优先级,严重级别,测试类型
TC-LOG-001,登录与权限模块,登录页,验证正确账号密码登录,输入正确账号密码提交登录,后端服务已启动；存在有效账号student1/admin123；Chrome浏览器；网络正常,1.浏览器打开/login登录页；2.用户名输入框输入student1；3.密码输入框输入admin123；4.点击登录按钮,登录请求POST /api/auth/login返回code=200；页面跳转至系统首页/；localStorage写入token与userInfo；首页右上角展示用户姓名张三与角色STUDENT,未执行,P0,严重,功能测试
TC-LOG-002,登录与权限模块,登录页,验证密码错误登录失败,输入正确账号错误密码,存在账号student1；后端服务正常,1.打开登录页；2.输入用户名student1；3.输入错误密码admin000；4.点击登录,接口返回code=500且message提示用户名或密码错误；页面不跳转仍停留在登录页；提示信息以Element Plus message弹出；localStorage未写入token,未执行,P0,严重,异常输入测试
TC-LOG-003,登录与权限模块,登录页,验证账号不存在登录失败,输入未注册账号,后端服务正常,1.打开登录页；2.输入用户名notexist；3.输入密码admin123；4.点击登录,接口返回code=500提示用户名或密码错误；页面不跳转；不区分账号不存在与密码错误防止账号枚举,未执行,P1,一般,异常输入测试
TC-LOG-004,登录与权限模块,登录页,验证用户名为空提交,用户名输入框留空,后端服务正常,1.打开登录页；2.用户名输入框不输入；3.密码输入admin123；4.点击登录,表单前端校验拦截；用户名输入框下方红字提示请输入用户名；不发起后端请求；页面不跳转,未执行,P1,一般,UI校验
TC-LOG-005,登录与权限模块,登录页,验证密码为空提交,密码输入框留空,后端服务正常,1.打开登录页；2.输入用户名student1；3.密码框不输入；4.点击登录,前端校验拦截；密码框下方提示请输入密码；不发起后端请求,未执行,P1,一般,UI校验
TC-LOG-006,登录与权限模块,登录页,验证账号密码均为空提交,两输入框均留空,后端服务正常,1.打开登录页；2.用户名与密码均不输入；3.点击登录,前端校验拦截；用户名框优先提示请输入用户名；不发起后端请求,未执行,P2,轻微,UI校验
TC-LOG-007,登录与权限模块,登录页,验证账号前后空格自动去除,账号含首尾空格,存在账号student1,1.打开登录页；2.用户名输入 空格student1空格；3.密码输入admin123；4.点击登录,登录成功返回code=200；系统自动trim首尾空格匹配到student1账号；页面跳转首页,未执行,P2,轻微,边界测试
TC-LOG-008,登录与权限模块,登录页,验证密码大小写敏感,密码含大小写,存在账号student1密码admin123,1.打开登录页；2.输入用户名student1；3.输入ADMIN123全大写；4.点击登录,登录失败返回code=500；密码大小写敏感不匹配；页面不跳转,未执行,P1,一般,业务规则校验
TC-LOG-009,登录与权限模块,登录页,验证SQL注入输入账号,账号输入SQL注入串,后端服务正常,1.打开登录页；2.用户名输入 ' OR 1=1 -- ；3.密码任意；4.点击登录,登录失败返回用户名或密码错误；SQL注入被参数化查询拦截无异常；后端日志无SQL执行错误,未执行,P1,严重,异常输入测试
TC-LOG-010,登录与权限模块,登录页,验证XSS脚本输入账号,账号输入脚本,后端服务正常,1.打开登录页；2.用户名输入 <script>alert(1)</script>；3.密码任意；4.点击登录,登录失败提示用户名或密码错误；页面不执行脚本不弹窗；输入内容被转义显示,未执行,P1,严重,异常输入测试
